priority_rank,content_id,client_id,priority_score,recommended_action,reason_codes,search_volume,impressions_90d,clicks_90d,trend_pct,days_since_last_update,word_count,content_age_days
7147,content_a938be8fc6f5,client_19581e27de,0.8569315131260813,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",110.0,464,0,-14.3,22,,482
7148,content_cc9bf156f18e,client_9f14025af0,0.856855229043445,Monitor,DECLINING,10.0,45,0,-94.7,20,928.0,347
7149,content_7dc32a8e7b2a,client_e29c9c180c,0.8568463637850412,Monitor,DECLINING,10.0,46,0,-95.5,20,1313.0,311
7150,content_2eecc520da26,client_f369cb89fc,0.8566845614970615,Monitor,DECLINING,0.0,120,0,-58.3,20,2962.0,145
7151,content_e1c7d18ddbdd,client_19581e27de,0.8566840703756314,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,181,0,-74.6,22,,480
7152,content_0a34781126c5,client_d029fa3a95,0.8566827075927019,Monitor,REVIEW,0.0,52,0,0.0,8,2909.0,148
7153,content_bf398aa7400e,client_d4735e3a26,0.8566626708158915,Monitor,REVIEW,,1,1,,20,816.0,294
7154,content_ac38c61cc1d4,client_e629fa6598,0.8565680461286913,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",110.0,76,0,-76.7,20,,460
7155,content_6016b918a48f,client_d4735e3a26,0.8565432933867438,Monitor,REVIEW,,1,1,,20,766.0,312
7156,content_2b45109000cf,client_e629fa6598,0.8565147001928226,Monitor,HIGH_DEMAND,20.0,94,0,5.6,22,,494
7157,content_9863faed7637,client_a88a7902cb,0.856487784277862,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",90.0,67,0,-96.2,20,2420.0,98
7158,content_52a0cf81179f,client_8527a891e2,0.8564598867838328,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,77,0,-70.8,104,1640.0,275
